time,median,q025,q25,q75,q975
0.0,-0.65,-0.65,-0.65,-0.65,-0.65
1.0,-0.65,-0.65,-0.65,-0.65,-0.65
2.0,-0.65,-0.65,-0.65,-0.65,-0.65
3.0,-0.65,-0.65,-0.65,-0.65,-0.65
4.0,-0.65,-0.65,-0.65,-0.65,-0.65
5.0,-0.65,-0.65,-0.65,-0.65,-0.65
6.0,-0.65,-0.65,-0.65,-0.65,-0.65
7.0,-0.65,-0.65,-0.65,-0.65,-0.65
8.0,-0.65,-0.65,-0.65,-0.65,-0.65
9.0,-0.65,-0.65,-0.65,-0.65,-0.65
10.0,-0.65,-0.65,-0.65,-0.65,-0.65
11.0,-0.65,-0.65,-0.65,-0.65,-0.65
12.0,-0.65,-0.65,-0.65,-0.65,-0.65
13.0,-0.65,-0.65,-0.65,-0.65,-0.65
14.0,-0.65,-0.65,-0.65,-0.65,-0.65
